title,content,subcodexes
"Death Blow","A death blow is any damage dealt to an Avatar who is on death's door, other than on the turn they 
reached death's door. If you deal a death blow to your opponent's avatar, you win! The damage can 
come from a strike or any effect that specifically deals damage. Note that attacking their sites 
causes your opponent's avatar to lose life, which is different from damaging their avatar. Losing 
life, including due to site damage, does not cause a death blow. If both Avatars suffer a death blow 
simultaneously (perhaps by one attacking the other), the game is a draw. Alternately, many 
tournaments declare that simultaneous death blows are ignored, and the game continues.",""
"Death's Door","As your Avatar loses life, its connection with the realm weakens. When your life is reduced to 0, 
you don't instantly lose the game! Instead, you are at death's door. While at death's door, you can 
no longer heal or set your life to a higher number. The moment you reach 0 life, you can't die that 
turn. After that single turn, any damage dealt to your avatar is a death blow, causing you to lose 
the game. See the 'death blow' codex entry for more details. For example, on my turn, if I attack 
you and put you to death's door (e.g. 0 life), you cannot die for the rest of that turn. Then, on 
your turn and beyond, any damage to your avatar will be a death blow and I would win.",""
"Deathrite","Keyword Ability. Deathrite is keyword for a triggered ability with the text: When this card dies, 
... Do whatever is stated. Deathrite effects resolve before placing the card in its owner's 
cemetery. See the '((die))' and '((attack))' codex entries for more details on specific Deathrite 
timing.",""
"Defend","Defend is a basic ability that allows you to defend against your opponent's attacks. A unit must be 
untapped to defend, and it's one of two basic abilities that you can use on your opponent's turn 
(the other is Intercept). Defend is a triggered ability with the following text: When an enemy 
attacks another unit or site in this unit's range of motion, it may tap to defend, moving to the 
attack's location and joining the fight. When an attack is occurring, there is a window to defend. 
See the '((attack))' codex entry for further details. During that window, multiple different units 
can defend, one at a time. When a unit moves to defend, it may use any of its movement abilities, 
such as Airborne, Burrowing, Movement +X, Submerge, or Voidwalk. If the original target of the 
attack was a unit, the defender's controller may decide if that unit remains in the fight, or is 
removed. If the original target was a site, it is automatically removed. Remember, only 'attacks' 
can be defended; attacks are only caused by the Move and Attack basic ability, or very specific card 
text that uses the word 'attack,' e.g. [[Crave Golem]]. When a unit uses its Defend ability, it 
automatically becomes a legal target for the attack. For example, a minion with Stealth normally 
can't be targeted by an attack, but if it chooses to Defend, it will be a legal target (as an 
explicit exception to the normal precedence in the Silver Rule).",""
"","","Movement Paths for Defending:  When a unit defends, it must declare a movement path that ends with 
it occupying the attack's location, ignoring any triggered abilities."
"","","When Exactly is a Unit Allowed to Defend?:  If the unit is untapped and the attack's location is 
within its range of motion. See '((range of motion))' for more details."
"Defender","Defender is the opposite of attacker. Any attacked unit is considered a defender, even if they 
didn't use the Defend ability. A unit that uses the Defend ability becomes a defender, but the 
originally attacked unit is also a 'defender' if it stays in the fight. An attack is 'undefended' 
only if there are no defenders (i.e. attacking a site).",""
"Die","'Dies' is synonymous with 'destroyed' and 'killed' (and 'dispel' for auras). Whenever a minion has 
damage on it equal to or greater than its power (or is destroyed directly by an effect), that card 
is marked for death. After it is marked, any 'kill' or Deathrite triggers resolve, and finally the 
marked card is put into its owner's cemetery. If multiple cards are marked for death simultaneously, 
use the normal storyline rules for simultaneous triggers, then all the marked cards are put into 
their owners' cemeteries simultaneously.
Once a card has been marked for death, nothing can remove the mark. An effect that heals a marked 
creature or increases its power does not remove the mark. Certain replacement effects can avoid 
death entirely (e.g. Ward, [[Gilded Aegis]], [[Lady Iseult]]), in which case the minion was never 
marked for death at all, because that's how replacement effects work.
An effect may move a marked card to a different zone (e.g. [[Fey Changeling]] on [[The Geistwood]]), 
but that card is still considered to have died for the purposes of other effects.
If a Deathrite ability causes more cards to die, they are also marked for death, and their Deathrite 
effects will also trigger before any cards are placed in the cemetery. None of the cards that have 
been marked for death are put into their owners' cemeteries until all Deathrite effects have 
resolved.
Players cannot choose to sacrifice or kill a card that is already marked for death. A card that is 
already marked for death cannot be marked for death again, and any effect that attempts to destroy 
or sacrifice that card fails. That card still only triggers its Deathrite ability once.
Cards that are sacrificed also count as being destroyed. They are marked for death following the 
same process outlined above.",""
"Disabled","While disabled, a minion has no abilities (including basic abilities), cannot strike or deal damage, 
cannot take steps itself, cannot shoot projectiles, and cannot be tapped to pay for costs. They also 
cannot take any action granted by another card or effect (e.g. [[Raze]], [[Trial by Water]]), though 
they can be moved by force.
A disabled minion may be ))moved(( forcefully as long the disabled minion does not take one of its 
own steps. A disabled minion may still be tapped by effects as long as it isn't tapping to pay for 
costs.
Disabled is not an ability itself and is not removed by silenced effects (e.g. [[Silence]]). If a 
site is disabled, it has no abilities and cannot provide any mana or affinity.",""
"Dispel","Dispel means to 'die,' for auras. See the 'die' codex entry for more details.",""
"Drop","Drop is a basic, activated ability with the following text: Once on your turn, if this unit hasn't 
interacted with the realm, it may drop any number of artifacts it's carrying. Each unit can use its 
Drop ability once per turn. Since Drop is an activated ability, you can only use it during the main 
phase on your turn while nothing is on the storyline. For example, you can't use the Drop ability 
while in the middle of the Move and Attack ability. If the unit has the ability to carry other units 
(e.g. [[War Horse]]), then its Drop basic ability is modified from 'artifacts' to 'artifacts and/or 
units.' See the 'Pick Up' and 'Interact' codex entries for more details.",""
"Earth Site","An earth site is a site that provides at least one earth (E) affinity. If the site provides other 
types of affinity as well, it's still an earth site as long as it provides at least one earth 
affinity. In particular, note that a site could be a water site (because it provides water affinity) 
AND an earth site (because it provides earth affinity). [[Aqueduct]] is an example of a water site 
and earth site. Earth site and land site are NOT synonyms.",""
"Element","Sorcery: Contested Realm is built around the four classical elements: Air, Earth, Fire, and Water. 
To cast spells, you'll generally need to have elemental affinity. A spell is an air spell if it 
requires one or more air threshold, e.g. [[Apprentice Wizard]], or has an air frame, e.g. [[Castle 
Servants]]. Earth, fire, and water spells are determined in the same manner. If a spell requires 
multiple different elemental thresholds, e.g. [[Purple Knight]], it is each of those elements. 
Knowing the element of a spell is relevant for cards like [[Lava Salamander]], which can only cast 
fire spells and takes no damage from fire spells. A site is an air site if it provides one or more 
air affinity. Earth, fire, and water sites are determined in the same manner. If a site provides 
multiple different elemental affinities, e.g. [[Ruins]], it is each of those elements. Knowing the 
element of a site is relevant for cards like [[Avatar of Earth]], which specifically looks for earth 
elemental affinity on sites.",""
"","","Air:  Air is the element of knowledge and ))power((, dabbling in forces beyond mortal ))control(( to 
acquire the magical means to respond to any battlefield situation. An attunement with air grants you 
both mobility and tactical options thanks to its ability to teleport units around the realm and to 
increase its available spells."
"","","Earth:  Earth is the element of enduring strength, defined by its focus on fielding and enhancing 
martial forces throughout the realm. An attunement with earth grants you the ability to affect your 
atlas and minions that can dominate the battle through teamwork and sheer ))fighting(( power."
"","","Fire:  Fire is the element of desire and destruction, willing to do whatever it takes to secure 
victory in the realm. An attunement with fire grants you an array of explosive spells and abilities 
that can create bursts of speed or burn friend and foe alike in great gouts of flame."
"","","Water:  Water is the element of charm and trickery, ready to adapt and disrupt the strategies of the 
enemy as it manipulates all. An attunement with water grants you a powerful homefield advantage that 
will slowly engulf the realm and the ability to position the enemy right where you want them."
"Elemental Threshold and Affinity","Elemental threshold, often shortened to simply 'threshold,' describes how much elemental affinity is 
needed to cast most spells or use some abilities. Elemental affinity is most often provided by 
sites, but can come from other sources as well. For example, [[Arid Desert]] provides one fire 
affinity (F), denoted by the red triangle near the bottom right of the card. Similarly, [[Blacksmith 
Family]] is a minion that provides fire affinity. There are four elemental thresholds: Air (A), e.g. 
[[Castle Servants]] Earth (E), e.g. [[Common Cottagers]] Fire (F), e.g. [[Blacksmith Family]] Water 
(W), e.g. [[Fisherman's Family]] Unlike mana, you don't spend your affinity. It is merely a 
requirement you must meet to cast spells and use ability. For example, to cast [[Ancient Dragon]] 
with its three fire threshold (F)(F)(F), you must have three or more fire affinity. Some spells, 
often artifacts, have no threshold requirements to cast.",""
"Empty Site","A site is empty if it has absolutely nothing there, not even an aura.",""
"End Phase","The end phase is the last phase during your turn. Trigger abilities that happen at the end of the 
turn. Players remove all damage from their minions in the realm. Remember that Avatars do not 
automatically heal in the same way as damage is removed from minions; however, you can heal using 
spells and other card effects. Effects that last for your turn now end. Your turn is now over. 
Anything that triggers 'after each turn' resolves now.",""
"Enemy","An enemy is a unit that an opponent controls, including their Avatar. Enemies are always units, 
unless otherwise specified by card text. For example, [[Fade]] uses 'enemy site,' which means 'a 
site an opponent controls.'",""
"Enter","A unit 'enters' a location or site when it is summoned there, or when it moves there from somewhere 
else. 'Somewhere else' means 'a different location' for entering locations, and it means 'a 
different site' for entering sites. The method of movement doesn't matter; it can be any type of 
movement, including the Move and Attack basic ability, effects that cause a unit to 'take a step,' 
teleportation, or other forced movement. The relevant questions are: Was it summoned there, OR Did 
it move there from somewhere else? If either of those are true, then the unit 'entered' that 
location or site. Further notes: If a site is placed under an existing unit, the unit did not enter 
the site. The unit didn't move, and it wasn't just summoned, so it didn't enter. This can happen if 
Rubble was replaced by a site, or it was a voidwalk minion in the void and a site was played there. 
If a non-minion occupies a location or site and then becomes a minion without moving (e.g. 
[[Enchantress]]), the minion did not enter. The minion didn't move and wasn't just summoned. If a 
minion moves between levels of a site (e.g. surface to subsurface, or subsurface to surface), it 
does not enter the site, since it was already occupying the site. (It does enter the specific 
location of surface or subsurface.) For oversized units, they only enter a location or site if they 
didn't previously occupy it. For example:  The [[Mountain Giant]] occupies the four left squares, 
and then takes a step to the east. It enters the two sites in the right column, but it does not 
enter the two sites in the middle column, since it already occupied those sites before the move. See 
the '((Oversized Units))' codex entry for more details.",""
"Evil","Any minion that is an Undead, Demon, or Monster is Evil. Various cards in the game reference Evil, 
such as [[Day of Judgment]].",""
"Fight","When units fight, they strike each other. Apply the following sequence to resolve a fight: First 
strikes resolve (e.g. Lance, [[Albespine Pikemen]]). Resolve deathrites and 'kill' effects (and 
'successfully attack' effects if this fight was part of an attack). Place dead minions in 
cemeteries. Normal strikes happen. Resolve deathrites and 'kill' effects (and 'successfully attack' 
effects if this fight was part of an attack). Place dead minions in cemeteries. Whenever a unit is 
striking against multiple other units (for example, if there are multiple defenders), the controller 
decides how the strike damage is distributed. There is still only a single strike from that unit 
(though some of the struck units could be struck for zero damage).",""
"Fire Site","A fire site is a site that provides at least one fire (F) affinity. If the site provides other types 
of affinity as well, it's still a fire site as long as it provides at least one fire affinity.",""
"Fireball","This refers to the actual [[Fireball]] spell! This is relevant for the [[Avatar of Fire]].",""
"Flooded","Keyword ability. A flooded site has a minimum of one water affinity (W). Therefore, it's a water 
site, though it still provides other elemental affinities, if any. For example, if a [[Humble 
Village]] was flooded, it would provide earth (E) affinity and water (W) affinity. It would be a 
water site and an earth site. If an effect 'floods' a site (e.g. [[Geyser]]), that site gains the 
Flooded ability for the stated duration. Since Flooded is an ability, effects that remove abilities 
from sites will also remove Flooded.",""
"Fly","If you fly a unit somewhere, treat the unit as if it had Airborne while crossing borders, e.g. 
[[Avatar of Air]]. Fly is synonymous with 'throw through the air,' e.g. [[Siege Giant]]. For 
example, a unit being moved by ))Avatar(( of Air's ability will be able to cross the border of a 
[[Perilous Bridge]] or [[Great Wall]], and will not take damage from a [[Wall of Brambles]], even if 
it's disabled, silenced, or [[Sky Baron]] is in the realm. Note that this effect is specific to 
crossing borders (and not entering sites), and therefore [[Bottomless Pit]] will still trigger for 
non-Airborne minions moved via ))Avatar(( of Air's ability. If you fly a site somewhere, e.g. 
[[Cloud City]], treat all units occupying the site as if they had Airborne while the site moves.",""
"Foot Soldier Token","A Foot Soldier is a token minion with 1 power. A Foot Soldier is an Ordinary Mortal and an ((earth)) 
minion. For example, [[Common Village]].",""
"For Free","When you cast a spell 'for free' it costs (0) mana and requires no additional costs either. 'For 
free' is synonymous with 'for (0).' You must still meet the threshold requirements to cast the 
spell. If you cast a spell that costs X 'for free' and you can choose the value of X, e.g. [[Arcane 
Barrage]], then X must equal zero. But, if spell itself specifies the value of X, e.g. [[Twist of 
Fate]], then X = whatever is specified by the spell.",""
"Forced Movement","Forced movement is any movement that does not require the unit to take their own step. For example, 
[[Windblast]] is forced movement, since the moved unit doesn't step. A unit being carried by another 
unit, e.g. [[War Horse]], is also forced movement for the carried unit. Effects that use the words 
drag, pull, or push are also forced movement, e.g. [[Unland Eel]] or [[Grapple Shot]]. Teleportation 
is forced movement. Effects that require a unit to take a step are not forced movement. For example, 
[[Led Astray]] is not forced movement, because the unit is taking their own step (and an Immobile 
unit wouldn't move at all). Confusingly, some lure effects on older cards use a phrase like 'force 
an enemy to take a step towards,' e.g. [[Coy Nixie]]. This is still not forced movement, since the 
unit is taking their own step, and an Immobile unit wouldn't move; 'force' in these cases is being 
used in the normal English usage. The guiding principle for forced movement is whether or not the 
unit is taking their own step. If they aren't taking their own step, then it's forced movement! 
Unless specified by card text, forced movement cannot cause a card to change regions.",""
"Forward","'Forward' is the cardinal direction away from your starting edge. This is relevant for a few cards 
like [[Dalcean Phalanx]]. 'Forward' is player-relative. If the control of such a card changes, the 
direction it perceives as 'forward' will also change.",""
"Frog Token","A Frog is a token minion with zero power. A Frog is an Ordinary Beast with 'Submerge.' A Frog is a 
((water)) minion. For example, [[Pollimorph]].",""
"Fully Heal","To fully heal a minion, remove all damage from it. To fully heal an Avatar, its current life becomes 
its maximum life. A 'fully heal' effect supersedes other effects that reduce healing, e.g. [[River 
of Blood]].",""
"Genesis","Keyword Ability. Genesis is keyword for a triggered ability with the text: When this card enters the 
realm, ... Do whatever is stated.",""
"Hand","Your hand contains spells and sites. There is no limit to the number of cards you may have in your 
hand, and their order is irrelevant. You may look at cards in your hand at any time. Your opponent 
is allowed to know how many cards of each type (spell or site) you have in your hand at any time. 
For clarity of game state, if you are using card sleeves, you should use different sleeves for sites 
and spells. Your hand is one of the zones in the game.",""
"Healing","Healing an avatar is synonymous with gaining life. Healing a minion removes damage from that minion. 
When 'you heal X,' you increase your life by that amount, up to your avatar's maximum life. For 
example, [[Divine Healing]] increases your current life by 7 (to a maximum of 20 or whatever your 
avatar's maximum life is). If you are at death's door, your life total can't change, so any healing 
effect will fail. Setting life doesn't count as healing (e.g. [[Twist of Fate]]). But, if you're at 
death's door, your life total can't change and will remain at 0.",""
"Here","'Here' refers to the location(s) that the card occupies. For most cards, such as minions and 
artifacts, that means one location. For example, [[Fey Changeling]]. For auras, that usually means 4 
locations, most commonly the surface of 4 sites. For example, [[A Midsummer Night's Dream]]. Another 
example is the use of 'here' on [[Evil Presence]], which includes the site surfaces but could also 
include void squares as well, if the aura occupied a void square. When a site itself uses the word 
'here,' that includes both the site's surface location and it's subsurface location. For example, 
[[Dome of Osiros]] protects minions in its subsurface as well as surface. 'Here' is analogous to 
'there.'",""
"Immobile","Keyword ability. An Immobile unit cannot take steps. For example, if you use the Move and Attack 
basic ability, an Immobile unit can't take steps, though it can still attack and defend at that 
location. An Immobile unit couldn't take any steps with [[Leap Attack]] but it could still strike. 
Forced movement effects apply normally to Immobile units, so they can [[Blink]] or [[Grapple Shot]] 
like any other unit.",""
"Interact","A unit 'interacts' with the realm if it does any of the following things: Strikes Casts a spell 
Activates a special ability Note that only ((activated abilities)) can be activated. Triggered 
abilities and passive abilities aren't activated. Note that a '((special ability))' is different 
from a '((basic ability))'. Deal damage (even if the damage is prevented) Note that 'deal damage' is 
mostly but not fully covered by the first three bullet points. 'Activates a special ability' doesn't 
include triggered abilities, since only activated abilities can be activated. There are some 
triggered abilities that could deal damage, e.g. [[Infernal Legion]] or [[Colicky Dragonettes]], 
which are intentionally included in 'interacting.'",""
"Intercept","Intercept is a basic ability that allows you to fight your opponent's units who 'Move and Attack' 
without actually attacking. A unit must be untapped to intercept, and it's one of two basic 
abilities that you can use on your opponent's turn (the other is Defend). Intercept is a triggered 
ability with the following text: When an enemy using its Move and Attack ability finishes its 
movement and does not attack, any of your units there may tap to intercept and fight that enemy. 
Units cannot move when they intercept; they must already be at the enemy's final location. The 
timing for an attack and the timing for intercept are the same; if the enemy attacks, you may 
defend. If the enemy doesn't attack, you may intercept. In summary, if both of the following are 
true, you can intercept: The enemy used Move and Attack, AND They chose not attack. Units with 
Stealth cannot be intercepted, and units with Airborne can only be intercepted by enemies with 
Airborne or Ranged. If multiple allied units intercept the same enemy, they all fight that enemy 
together. Only the enemy's final location is relevant for interception. See the examples below for 
more details.",""
"","","Intercept as a Deterrent:   I have an [[Apprentice Wizard]] on site D. You have an untapped [[Bosk 
Troll]] on site C, and both [[Queen of Midland]] and [[Queen Guinevere]] on site B. I would love to 
cast my [[Poison Nova]] to kill all your minions, but I need to get my Apprentice Wizard to site C 
first. If I use the Move and Attack ability to move my Apprentice Wizard to site C and then attack, 
your Bosk Troll will be able to defend. If I move to site C but don't attack, your Bosk Troll will 
be able to intercept. Either way, my Apprentice Wizard would die before being able to cast the 
Poison Nova on site C. In the end, I will probably not choose to move to site C, and instead do 
something else. Intercept is a deterrent to certain basic movement, even if you don't actually use 
the intercept ability during a game."
"","","Intercept vs. Movement +X:   You have [[Rimland Nomads]] on site D. I have an untapped [[Bosk 
Troll]] on site C. You tap your Nomads, using the Move and Attack ability. As the ability resolves, 
you declare the following movement path: Surface site D -> Surface site C Surface site C -> Surface 
site A Rimland Nomads have Movement +1, so you resolve that movement normally and they're now on the 
surface of site A, having moved past the Bosk Troll without any problem. On the surface of site A, 
they choose not to attack. (If they did attack, my Bosk Troll could defend, killing them.) Even 
though your Rimland Nomads didn't attack, my Bosk Troll cannot intercept since it doesn't share the 
final location with your Rimland Nomads."
"","","The Final Location is Key:   You have a Foot Soldier token on site C. I have an untapped [[Bosk 
Troll]] on site C as well. You tap your Foot Soldier, using the Move and Attack ability. As the 
ability resolves, you declare the following movement path: Surface site C -> Surface site A You 
resolve that movement normally and they're now on the surface of site A, having moved away from the 
Bosk Troll without any problem. On the surface of site A, they choose not to attack. (If they did 
attack, my Bosk Troll could defend, killing them.) Even though your Foot Soldier departed a location 
shared with my Bosk Troll and then didn't attack, my Bosk Troll cannot intercept now since it 
doesn't share the final location (surface of site A) with your Foot Soldier. Remember, the two 
things that are relevant for intercept are: Did the enemy use the Move and Attack ability, AND Did 
they not attack? At the moment they choose not to attack, that's the moment you can tap to 
intercept, at that location."
"","","Only 'Move and Attack' can Trigger Intercept:   You have an [[Apprentice Wizard]] on site D. I have 
an untapped [[Bosk Troll]] on site C. You cast [[Blink]] to teleport your Wizard to site C. My Bosk 
Troll cannot intercept since you didn't Move and Attack. I can only intercept if you use Move and 
Attack, then don't attack."
"","","Intercept Without Moving:  Units can technically tap to use their Move and Attack ability without 
moving and without attacking since both are optional, perhaps anticipating [[Mesmerism]]. If the 
unit does not attack, you may intercept! For example, you have untapped [[Amazon Warriors]] and I 
have an [[Autumn Unicorn]] at the same location. If I tap my [[Autumn Unicorn]] to use its Move and 
Attack basic ability, then decline to move and decline to attack, your Amazon Warriors may tap to 
Intercept."
"Its Location","If minion, artifact, aura, or avatar refers to 'its location,' that means the location that it 
currently occupies. See the 'here' codex entry for more details.",""
"Its Site","If minion, artifact, aura, or avatar refers to 'its site,' that means the site that it currently 
occupies. See the 'here' codex entry for more details.",""
"Keyword Ability","A keyword is a word or phrase that functions as shorthand for a longer piece of rules text. For 
example, Burrowing is a keyword that includes multiple related rules and abilities (e.g. can move 
between surface and underground locations, and can survive underground). Keywords are used to 
communicate concepts that require more text than what will fit on a card. You can find these longer 
explanations in the rulebook and the Codex. If a card gains multiple copies of a keyword ability, 
usually there is no benefit. For example, a [[Plumed Pegasus]] with Airborne and [[Power of Flight]] 
simply has Airborne. When the Power of Flight ends, the Pegasus will still have Airborne due to its 
printed ability. Sometimes, multiple copies of a keyword do provide a benefit, such as multiple 
Lance keywords, e.g. [[Thankless Squire]].",""
"Kill","Kill simply means destroy; they are synonyms. See 'kill credit' for more details.",""
"Kill Credit","Some effects care about who did the killing (e.g. [[Crown of the Victor]]). Only units can get 
credit for a kill. Determine credit for a kill when a minion dies (i.e. marked for death), in 
priority order (highest first): Did a unit just strike or deal damage with a special ability? Did a 
unit just resolve a Magic spell they cast? Did a unit just activate or trigger an ability, including 
abilities granted by artifacts? If any of the above are true, in priority order, then that unit is 
the killer. If a unit is tapped to pay for an ability (e.g. [[Payload Trebuchet]]), they count as 
'activating' the artifact's ability for purposes of kill credit. The killer must be a unit, but 
multiple units can share credit for a kill, if they both share the same priority. For example, 
[[Grapple Shot]] will only give credit to the ally who strikes, not the spellcaster, since priority 
1 is higher. If two units defend against a single attack, both defenders could get credit for the 
kill. Note that passive abilities and other ongoing effects are not included in kill credit. Only 
activated and triggered abilities are included at priority 3.",""
"Lance","Keyword Ability. A minion with the Lance keyword enters the realm carrying a [[Lance]] artifact 
token. A Lance is an Ordinary, Weapon, artifact token with the text: Bearer's next strike against 
units deals +1 damage and strikes first, then Lance breaks.  Further notes: There's only one 'first 
strike' window in a fight. More than one Lance confers no extra speed benefit. If a unit has 
multiple Lances, they will each add +1 damage, and all will break after the next strike against a 
unit. Using a Lance is not optional. If a unit is carrying a Lance and strikes a unit, the Lance 
will be used and break. If a unit carrying a Lance strikes a site, the Lance does not break and does 
not confer additional damage. Lances are normal artifacts that can be picked up and dropped as 
usual. When they break, they are removed from the game, like all tokens. Since the Lance keyword is 
an 'enters the realm' effect, even if the minion is immediately disabled or silenced when entering 
the realm, they will still have their Lance with them!",""
"Land Site","A land site is a site that provides zero water affinity. Though water sites are tied specifically to 
the element of water, land sites can have any combination of non-water affinity, or no affinity at 
all. For example, a site that provides both fire and air affinity is a land site. A site that 
provides no affinity is also a land site. A land site is not specifically tied to the element of 
earth. If a site provides water affinity and other types of affinity (e.g. earth), it's a water site 
and not a land site. If a site gains water affinity, then it stops being a land site. 'Land site' 
and 'water site' are mutually exclusive. A site cannot be both a water site and a land site; it will 
always be one or the other.",""
"Landbound","Keyword Ability. This minion is disabled while not occupying at least one land location. The 
landbound ability persists even when disabled.",""
"Lasts 3 of Your Turns","This terminology is used on various aura, e.g. [[Entangle Terrain]], [[Falling Star]]. To resolve 
the effect, add a counter at the end of each of your turns, and dispel the aura when there are 3 
counters. If the aura is silenced during your end phase (presumably because it was animated by 
[[Enchantress]] and then silenced somehow), then no counter will be added that turn.",""
"Lethal","Keyword Ability. Any damage a Lethal unit deals to a minion is enough to kill it. (Remember that 
zero damage isn't damage at all, so it will need to do one or more damage.) For example, [[Pit 
Vipers]] can kill [[Amazon Warriors]] with a single strike for 1 damage. If the Amazon Warriors had 
their [[Shield Maidens]] nearby, then the Pit Vipers wouldn't actually kill the Amazon Warriors, 
because they'd do zero damage, which isn't actually damage at all.",""
"Life","Avatars have life. Life represents the amount of damage that your Avatar can endure before it is 
placed on death's door. As your Avatar takes damage, its overall life decreases accordingly. An 
avatar's maximum life is the value printed on their card (typically 20), and cannot exceed that 
number. An avatar's minimum life is zero, and cannot go below that. When an avatar reaches zero 
life, it is on Death's Door.",""
"Location","The smallest area in Sorcery. A location is defined by its square AND region. For example, a square 
with a void has a single location, that particular void location. At the beginning of the game, 
there are 20 locations in the realm, all void. A square with a site has two locations: the surface 
of the site and the subsurface of the site. Those are two different locations, even though they're 
in the same square. If the entire 5x4 realm was filled with sites, then the realm would contain 40 
locations (the surface and subsurface of each of the 20 sites).",""
"Look At","When a card instructs you to 'look at' cards in a zone, you do not reveal those cards to other 
players, only you look at them.  This is similar to, but distinct from, a 'search.' Whenever you 
return cards that you have looked at to a deck, you may put them back in any order unless the effect 
specifies otherwise.",""
"Lose","Some effects will cause artifacts, minions, and sites to lose certain abilities, often keywords. 
'Lose' really means 'lose, can't gain, and can't have.' These effects take precedence over competing 
passive abilities. E.g. [[Sky Baron]] wins, even if I give [[Wings of Invention]] to my minion after 
you summoned Sky Baron. It's relevant to these cards: [[Sisters of Silence]], [[Silence]], 
[[Entangle Terrain]], [[Sky Baron]], [[Atlantean Fate]], [[Scent Hounds]], [[House of Ondaros]], 
[[Master Tracker]], [[Magnetic Muzzle]], [[Smokestacks of Gnaak]], [[Watchtower]], [[Hunting 
Party]], [[Sir Bors the Younger]], [[Pebbled Paths]] See the 'Can vs. Can't' codex entry for more 
details.",""
"Magic","Magics are transient spells that have an immediate impact but do not persist in the realm. [[Heat 
Ray]] is an example of a magic. Magics have characteristics, specifically ((magic characteristics)), 
and are one of the six card types in the game. The '((Casting Magics))' entry has details on how to 
cast magic spells.",""
"Main Phase","The main phase is where most of Sorcery's actions and events take place. During this phase, your 
units can be ordered to do two types of actions. They can: Cast a spell from your hand if they are a 
Spellcaster, or Activate one of their abilities You may have your units do these as many times as 
you have resources to do so, and in any order you like. For example, you might have one minion use 
their Move and Attack basic ability, then cast a spell with your Avatar, then have a minion use 
their Pick Up basic ability, then have a different minion use their Move and Attack ability.",""
"Mana","Mana can come from several sources, but sites are the most common. When a mana source enters the 
realm on your turn, and during your start phase, they generate mana. You use this mana to cast 
spells or activate abilities. At the end of your turn, any remaining mana is lost, whether or not 
you used it that turn. You may not generate mana on your opponent's turn.",""
"Mana Cost","Mana cost is the printed cost of the spell. See ((Cost)) for more details.",""
"Mandatory Actions","One game rule causes a mandatory action: If your Avatar is in the void, you may and must use their 
ability to play a site under them, ignoring normal site adjacency rules. Other effects may cause 
mandatory actions (e.g. [[Mask of Mayhem]] or [[The Green Knight]]). For mandatory attacks, the 
question of whether a unit 'can attack,' depends on their range of motion. You must resolve 
mandatory actions during your main phase before doing anything else. If you have multiple mandatory 
actions, do one of your choice, resolve it, and then continue doing mandatory actions one at a time 
until they are all resolved. To properly apply mandatory actions, simply ask: At this moment in my 
main phase, can I do the mandatory action? If yes, do it now! If no, do whatever you wish. If there 
is a mandatory action that you can't legally take, you can proceed with your main phase as you wish. 
If at any point during your main phase you become able to take a mandatory action, you must do so 
immediately, before continuing. Example - Avatar in the Void with No Sites in Hand
Your Avatar is in the void, so the game rules require you to play a site under your Avatar, ignoring 
normal site adjacency rules. But, you don't have any sites in your hand, so you can't. Therefore, 
you are free to continue your main phase as you wish. You are not required to draw a site at the 
start of your turn, nor tap your Avatar to draw a site. But if at any point you have a site in hand 
and an untapped Avatar in the void, you must play a site under you!  Example - Mandatory Attack Your 
[[Bosk Troll]] is 2 squares away from [[The Green Knight]], The Green Knight is not within the Bosk 
Troll's range of motion, and thus you are not required to attack The Green Knight. You take actions 
in your main phase as you wish. Perhaps you cast a [[War Horse]] in the same square as the Bosk 
Troll. Then, you have the [[War Horse]] use the Pick Up basic ability, carrying the Bosk Troll. 
Then, you use the War Horse's Move and Attack basic ability, moving one square closer to The Green 
Knight. After resolving the War Horse's ability and the storyline is empty, the Bosk Troll is now 
able to attack The Green Knight. You must do so, in the middle of your main phase before doing 
anything else. You were not required to carry the Bosk Troll closer to The Green Knight. But once 
you chose to do that, the game noticed that The Green Knight was in the Bosk Troll's range of 
motion, and thus you were required to make the Troll's attack.",""
"Materials Needed to Play Sorcery","A deck, a way to track life, and a fun attitude! A playmat will also help, but it's not strictly 
required! Your deck includes 1 avatar, a spellbook, and an atlas. Depending on the format 
(constructed vs. draft/sealed), the minimum deck size varies, so explore those codex entries for 
more details.",""
"May and Can","If an effect uses the word 'may' or 'can,' it is optional, e.g. [[Aramos Mercenaries]] or [[Felbog 
Frog Men]]. Exception: if the effect uses 'may only' or 'can only,' then it's actually a mandatory 
restriction, e.g. [[Dalcean Phalanx]] or [[Morgana le Fay]].",""
"Minion","Minions are your greatest allies, assisting you with myriad abilities in offense and defense. 
[[Plumed Pegasus]] is an example of a minion. Minions have characteristics, specifically ((minion 
characteristics)), and are one of the six card types in the game. The '((Casting Minions))' entry 
has details on how to cast minion spells.",""
"Move","'Move' means to go from one location in the realm to a different location in the realm. There are 
many ways for units in Sorcery to move. The most common way for a unit to move is the Move and 
Attack basic ability. Another way for a unit to move is a forced movement effect, including 
teleportation. Notably, if a unit enters a location from a different zone, e.g. summoning a minion 
from your hand, cemetery, or spellbook, that does not count as moving (though it is 'entering'). 
Finally, note that if a unit tries to 'move' from its current location to that same location, it's 
not actually moving at all.",""
